Timings,Steps,Loss,PSNR,Learning_Rate,Data,Anti,Dist,Hash,Rays_per_sec
3,2023-07-22 17:09:09,1,0.28454,9.899,3.14e-06,0.28314,6.4e-06,0.00139,1e-09,3408841
12,2023-07-22 17:09:29,100,0.21074,11.409,0.000311,0.20934,5.9e-06,0.0014,1.1e-06,334121
13,2023-07-22 17:09:49,200,0.1268,14.801,0.000616,0.12538,5.2e-06,0.00139,2.3e-05,323474
14,2023-07-22 17:10:09,300,0.09588,16.542,0.000915,0.09448,4.4e-06,0.00135,4.3e-05,322256
15,2023-07-22 17:10:30,400,0.09069,16.947,0.00121,0.08928,5e-06,0.00136,5.4e-05,322129
16,2023-07-22 17:10:50,500,0.08637,17.219,0.00149,0.08493,5.7e-06,0.00136,7.2e-05,324969
22,2023-07-22 17:11:15,600,0.08208,17.484,0.00177,0.08066,4.6e-06,0.00132,9.6e-05,324017
23,2023-07-22 17:11:35,700,0.07825,17.778,0.00205,0.07683,5.2e-06,0.00129,0.00013,323159
24,2023-07-22 17:11:56,800,0.07433,18.202,0.00231,0.07292,7.2e-06,0.00124,0.00016,324625
25,2023-07-22 17:12:16,900,0.07114,18.62,0.00257,0.06976,1e-05,0.00117,0.0002,326213
26,2023-07-22 17:12:36,1000,0.06799,19.02,0.00282,0.06664,1.5e-05,0.00109,0.00025,328211
32,2023-07-22 17:13:02,1100,0.06508,19.392,0.00306,0.06374,2e-05,0.00102,0.0003,326828
33,2023-07-22 17:13:22,1200,0.06286,19.69,0.0033,0.06153,2.6e-05,0.00095,0.00036,326767
34,2023-07-22 17:13:42,1300,0.06069,19.98,0.00352,0.05936,3.2e-05,0.00088,0.00042,325462
35,2023-07-22 17:14:02,1400,0.05875,20.257,0.00374,0.0574,3.8e-05,0.00081,0.00049,329056
36,2023-07-22 17:14:22,1500,0.05753,20.411,0.00395,0.05616,4.3e-05,0.00076,0.00057,328799
42,2023-07-22 17:14:47,1600,0.05627,20.598,0.00416,0.05486,4.7e-05,0.00071,0.00065,335034
43,2023-07-22 17:15:07,1700,0.05485,20.804,0.00435,0.0534,5e-05,0.00066,0.00074,330625
44,2023-07-22 17:15:27,1800,0.05386,20.946,0.00454,0.05235,5.2e-05,0.00063,0.00083,326917
45,2023-07-22 17:15:47,1900,0.05291,21.097,0.00472,0.05133,5.3e-05,0.0006,0.00092,331071
46,2023-07-22 17:16:07,2000,0.05188,21.28,0.00489,0.05024,5.4e-05,0.00057,0.00102,332169
52,2023-07-22 17:16:32,2100,0.05116,21.403,0.00505,0.04944,5.6e-05,0.00055,0.00112,336610
53,2023-07-22 17:16:52,2200,0.05041,21.528,0.00521,0.04861,5.7e-05,0.00053,0.00122,328882
54,2023-07-22 17:17:11,2300,0.04966,21.662,0.00535,0.04777,5.8e-05,0.00051,0.00132,328685
55,2023-07-22 17:17:31,2400,0.04917,21.774,0.00549,0.04718,6e-05,0.0005,0.00143,331518
56,2023-07-22 17:17:51,2500,0.04848,21.913,0.00562,0.04641,6.1e-05,0.00048,0.00153,328333
62,2023-07-22 17:18:16,2600,0.04807,21.959,0.00574,0.04591,6.2e-05,0.00047,0.00163,338160
63,2023-07-22 17:18:36,2700,0.04747,22.112,0.00585,0.04522,6.3e-05,0.00046,0.00173,331421
64,2023-07-22 17:18:56,2800,0.04718,22.187,0.00595,0.04484,6.5e-05,0.00045,0.00183,331865
65,2023-07-22 17:19:15,2900,0.04655,22.322,0.00605,0.04412,6.5e-05,0.00044,0.00193,331476
66,2023-07-22 17:19:35,3000,0.04629,22.359,0.00614,0.04378,6.7e-05,0.00043,0.00202,333455
72,2023-07-22 17:20:01,3100,0.04604,22.431,0.00622,0.04344,6.9e-05,0.00042,0.00211,338448
73,2023-07-22 17:20:21,3200,0.04557,22.552,0.00629,0.04289,6.8e-05,0.00041,0.0022,334432
74,2023-07-22 17:20:40,3300,0.04509,22.648,0.00635,0.04233,7e-05,0.0004,0.00229,333643
75,2023-07-22 17:21:00,3400,0.04493,22.681,0.00641,0.04209,7.1e-05,0.00039,0.00238,326892
76,2023-07-22 17:21:20,3500,0.04468,22.747,0.00645,0.04177,7.2e-05,0.00038,0.00246,332332
82,2023-07-22 17:21:46,3600,0.04453,22.769,0.00649,0.04155,7.3e-05,0.00038,0.00254,335575
83,2023-07-22 17:22:06,3700,0.04414,22.889,0.00653,0.04109,7.3e-05,0.00037,0.00261,333327
